id,name,ownericon,owner,datalocalisation,age,lastupdateyears,lastupdatemonths,lastupdatedays,nocontributors,noissues,nointerests,license,size,sizeindexed,sizeunindexed,nodevdependencies,noproddependencies,nopeerdependencies,nodependencies,noversions,nomaintainers,latestversion,centrality,indegree,outdegree,gcom,bcom,ucom,xcom,ycom,rcom,ecom,ncom,vul.info,vul.low,vul.moderate,vul.high,vul.critical
eslint-plugin-flowtype,eslint-plugin-flowtype,https://avatars.githubusercontent.com/u/973543?v=4,gajus,United Kingdom,8.7,0.01,0,2.28,70,40,2164,BSD-3-Clause,164566156.0,28293.0,5501.0,21,2,0,23,185,1,8.0.3,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0,0,15,15,4
rimraf,rimraf,https://avatars.githubusercontent.com/u/9287?v=4,isaacs,United States(California),13.72,0.0,0,0.96,31,10,11335,ISC,73022586.0,7616.0,2770.0,6,2,0,8,82,1,6.0.1,4,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0,0,0,0,0
prettier,prettier,https://avatars.githubusercontent.com/u/25822731?v=4,prettier,unknown,7.9,0.0,0,0.03,432,1395,99038,MIT,,,,0,0,0,0,164,11,3.3.3,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6173.0,0,0,0,0,0
prop-types,prop-types,https://avatars.githubusercontent.com/u/69631?v=4,facebook,United States(California),7.55,0.0,0,1.2,46,60,9021,MIT,39494362.0,9519.0,1580.0,10,3,0,13,24,3,15.8.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0,1,20,13,11
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313.0,7091.0,2336.0,15,0,0,15,1,1,0.0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,3,7,44,14
gulp-karma,gulp-karma,https://avatars.githubusercontent.com/u/201344?v=4,lazd,United States(California),10.87,1.74,21,634.25,4,6,158,MIT,11274419.0,3900.0,1133.0,2,4,0,6,5,1,0.0.5,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0,2,4,18,7
@babel/eslint-parser,@babel/eslint-parser,https://avatars.githubusercontent.com/u/9637642?v=4,babel,Canada,10.08,0.0,0,0.0,417,782,87258,MIT,39989504.0,31209.0,564.0,0,0,0,0,72,4,7.25.9,2,2,0,,,,,,,,,0,0,0,0,0
@babel/eslint-plugin,@babel/eslint-plugin,https://avatars.githubusercontent.com/u/9637642?v=4,babel,Canada,10.08,0.0,0,0.0,417,782,87258,MIT,39989504.0,31209.0,564.0,0,0,0,0,42,4,7.25.9,1,1,0,,,,,,,,,0,0,0,0,0
@babel/plugin-syntax-flow,@babel/plugin-syntax-flow,https://avatars.githubusercontent.com/u/9637642?v=4,babel,Canada,10.08,0.0,0,0.01,417,782,87258,MIT,39989504.0,31209.0,564.0,0,0,0,0,75,4,7.25.9,2,2,0,,,,,,,,,0,0,0,0,0
@babel/plugin-syntax-jsx,@babel/plugin-syntax-jsx,https://avatars.githubusercontent.com/u/9637642?v=4,babel,Canada,10.08,0.0,0,0.01,417,782,87258,MIT,39989504.0,31209.0,564.0,0,0,0,0,74,4,7.25.9,2,2,0,,,,,,,,,0,0,0,0,0
@babel/plugin-transform-react-jsx,@babel/plugin-transform-react-jsx,https://avatars.githubusercontent.com/u/9637642?v=4,babel,Canada,10.08,0.0,0,0.01,417,782,87258,MIT,39989504.0,31209.0,564.0,0,0,0,0,101,4,7.25.9,1,1,0,,,,,,,,,0,0,0,0,0
@typescript-eslint/eslint-plugin,@typescript-eslint/eslint-plugin,https://avatars.githubusercontent.com/u/46634674?v=4,typescript-eslint,unknown,5.78,0.0,0,0.14,450,327,30526,MIT,,,,0,0,0,0,3801,2,8.11.0,1,1,0,,,,,,,,,0,0,0,0,0
gulp-stylus,gulp-stylus,https://avatars.githubusercontent.com/u/4960253?v=4,stevelacy,unknown,10.89,0.49,6,180.07,36,2,454,MIT,9481472.0,2070.0,478.0,4,7,0,11,49,1,3.0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0,1,4,3,0
eslint-plugin-sort-imports-es6-autofix,eslint-plugin-sort-imports-es6-autofix,https://avatars.githubusercontent.com/u/22770059?v=4,schuchertmanagementberatung,unknown,7.7,1.61,19,589.27,8,17,170,MIT,69519679.0,4151.0,872.0,5,0,0,5,9,1,0.6.0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0,1,3,7,6
@typescript-eslint/parser,@typescript-eslint/parser,https://avatars.githubusercontent.com/u/46634674?v=4,typescript-eslint,unknown,5.78,0.0,0,0.14,450,327,30526,BSD-2-Clause,,,,0,0,0,0,3884,2,8.11.0,2,2,0,,,,,,,,,0,0,0,0,0
clean-pkg-json,clean-pkg-json,https://avatars.githubusercontent.com/u/1075694?v=4,privatenumber,Japan,2.3,0.31,3,112.23,2,1,107,MIT,131019087.0,9557.0,2295.0,0,0,0,0,4,1,1.2.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0,0,0
eslint-config-google,eslint-config-google,https://avatars.githubusercontent.com/u/1342004?v=4,google,United States(District of Columbia),8.98,0.01,0,2.48,15,15,3530,Apache-2.0,11612009.0,4654.0,1471.0,1,0,0,1,17,3,0.14.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0,1,1,5,2
eslint-find-rules,eslint-find-rules,https://avatars.githubusercontent.com/u/949380?v=4,sarbbottam,United States(California),8.61,0.05,0,17.33,21,15,417,MIT,59517822.0,16332.0,2916.0,0,0,0,0,41,3,4.2.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0,0,14,24,40
eslint-plugin-babel,eslint-plugin-babel,https://avatars.githubusercontent.com/u/9637642?v=4,babel,Canada,9.36,0.14,1,51.41,30,0,799,MIT,13794996.0,2574.0,409.0,4,1,0,5,22,12,5.3.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0,0,4,5,3
